q,r,x,y,angle_deg
-3,0,-5.196,0.0,180.0
-3,1,-4.33,1.5,160.893
-3,2,-3.464,3.0,139.107
-3,3,-2.598,4.5,120.0
-2,-1,-4.33,-1.5,199.107
-2,0,-3.464,0.0,180.0
-2,1,-2.598,1.5,150.0
-2,2,-1.732,3.0,120.0
-2,3,-0.866,4.5,100.893
-1,-2,-3.464,-3.0,220.893
-1,-1,-2.598,-1.5,210.0
-1,0,-1.732,0.0,180.0
-1,1,-0.866,1.5,120.0
-1,2,0.0,3.0,90.0
-1,3,0.866,4.5,79.107
0,-3,-2.598,-4.5,240.0
0,-2,-1.732,-3.0,240.0
0,-1,-0.866,-1.5,240.0
0,0,0.0,0.0,0.0
0,1,0.866,1.5,60.0
0,2,1.732,3.0,60.0
0,3,2.598,4.5,60.0
1,-3,-0.866,-4.5,259.107
1,-2,0.0,-3.0,270.0
1,-1,0.866,-1.5,300.0
1,0,1.732,0.0,0.0
1,1,2.598,1.5,30.0
1,2,3.464,3.0,40.893
2,-3,0.866,-4.5,280.893
2,-2,1.732,-3.0,300.0
2,-1,2.598,-1.5,330.0
2,0,3.464,0.0,0.0
2,1,4.33,1.5,19.107
3,-3,2.598,-4.5,300.0
3,-2,3.464,-3.0,319.107
3,-1,4.33,-1.5,340.893
3,0,5.196,0.0,0.0
